Team;Mean   Salary;Pct. Wins;Batting Avg. ;Earned Run Avg.;Errors;PlayOff
Arizona Diamondbacks;2653029;0.5;0.259;3.93;90;0
Atlanta Braves;2776998;0.58;0.247;3.42;86;1
Baltimore Orioles;2807896;0.574;0.247;3.90;106;1
Boston Red Sox;5093724;0.426;0.260;4.70;101;0
Chicago Cubs;3392193;0.377;0.240;4.51;105;0
Chicago White Sox;3876780;0.525;0.255;4.02;70;1
Cincinnati Reds;2935843;0.599;0.251;3.34;89;1
Cleveland Indians;2704493;0.42;0.251;4.78;96;0
Colorado Rockies;2692054;0.395;0.274;5.22;122;0
Detroit Tigers;4562068;0.543;0.268;3.75;99;1
Houston Astros;2332730;0.34;0.236;4.56;118;0
Kansas City Royals;2030540;0.444;0.265;4.30;113;0
Los Angeles Angels;5327074;0.549;0.274;4.02;98;1
Los Angeles Dodgers;3171452;0.531;0.252;3.34;98;1
Miami Marlins;4373259;0.426;0.244;4.09;103;0
Milwaukee Brewers;3755920;0.512;0.259;4.22;99;1
Minnesota Twins;3484629;0.407;0.260;4.77;107;0
New York Mets;3457554;0.457;0.249;4.09;101;0
New York Yankees;6186321;0.586;0.265;3.85;74;1
Oakland Athletics;1845750;0.58;0.238;3.48;111;1
Philadelphia Phillies;5817964;0.5;0.255;3.83;101;0
Pittsburgh Pirates;2187310;0.488;0.243;3.86;112;0
San Diego Padres;1973025;0.469;0.247;4.01;121;0
San Francisco Giants;3920689;0.58;0.269;3.68;115;1
Seattle Mariners;2927789;0.463;0.234;3.76;72;0
St. Louis Cardinals;3939316;0.543;0.271;3.71;107;1
Tampa Bay Rays;2291910;0.556;0.240;3.19;114;1
Texas Rangers;4635037;0.574;0.273;3.99;85;1
Toronto Blue Jays;2696042;0.451;0.245;4.64;101;0
Washington Nationals;2623746;0.605;0.261;3.33;94;1
